"carat","cut","color","clarity","depth","table","price","x","y","z"
1,"Fair","F","VS2",64.9,56,5840,6.26,6.31,4.08
0.3,"Premium","D","VS2",60.7,60,710,4.33,4.37,2.64
1.03,"Ideal","G","SI1",61.1,57,5147,6.54,6.58,4.01
1.3,"Very Good","J","SI2",61.1,61,5047,6.95,7,4.26
1.01,"Very Good","F","SI1",61,57,5174,6.44,6.54,3.96
0.31,"Ideal","E","VVS2",61.5,59,789,4.36,4.39,2.69
1.03,"Premium","G","VVS2",60.4,59,7729,6.58,6.56,3.97
0.7,"Ideal","D","VS1",61.7,57,3419,5.71,5.74,3.53
1,"Very Good","D","SI1",62.3,59,5342,6.26,6.29,3.91
1.01,"Very Good","E","VS2",60.9,57,6399,6.41,6.47,3.92
0.3,"Premium","G","SI1",62.9,59,574,4.28,4.24,2.68
0.54,"Premium","E","VS1",60.3,58,1939,5.26,5.32,3.19
1.26,"Very Good","G","SI1",63.2,61,7000,6.87,6.81,4.32
0.27,"Ideal","H","VVS2",62.2,56,527,4.15,4.18,2.59
1.34,"Ideal","D","I1",61.7,55,6303,7.12,7.08,4.38
0.9,"Fair","D","SI1",65.7,65,3751,6.06,5.94,3.94
1.23,"Ideal","H","VS2",62.2,55,7130,6.81,6.85,4.25
0.3,"Ideal","G","VVS1",61.7,55,747,4.31,4.35,2.67
0.5,"Premium","D","SI1",62.2,57,1654,5.11,5.08,3.17
0.41,"Ideal","I","VS2",61.5,55,683,4.79,4.83,2.96
1.09,"Premium","H","SI1",59.5,58,5706,6.73,6.71,4
1.52,"Premium","G","VS2",62,58,13606,7.39,7.33,4.56
0.24,"Very Good","G","VVS1",61.7,56,504,3.98,4.02,2.46
0.46,"Very Good","F","SI2",61.5,56,809,4.98,5.01,3.07
1.01,"Very Good","F","SI1",61.3,60,5975,6.39,6.43,3.93
0.53,"Ideal","G","SI1",62.4,55,1329,5.21,5.18,3.24
1.55,"Ideal","D","VS2",62.1,59,15887,7.34,7.37,4.57
0.29,"Good","F","SI1",57.4,61,545,4.39,4.42,2.53
0.56,"Ideal","F","VS2",62.6,56,1761,5.28,5.3,3.31
0.32,"Ideal","E","SI1",63.2,55,528,4.37,4.33,2.75
0.62,"Ideal","D","SI1",62.2,55,2062,5.51,5.45,3.41
0.33,"Ideal","G","SI2",62.9,55,557,4.46,4.41,2.79
0.23,"Ideal","G","IF",62.8,55,536,3.93,3.96,2.48
0.63,"Ideal","E","VS1",61.9,55,2565,5.46,5.5,3.4
1.03,"Very Good","G","SI2",63,60,3755,6.35,6.39,4.01
0.72,"Ideal","J","SI1",61.7,56,1853,5.77,5.81,3.57
0.35,"Ideal","E","SI1",61,57,614,4.54,4.57,2.78
1.5,"Very Good","I","VS1",60.8,63,9281,7.37,7.41,4.49
1.03,"Ideal","F","SI2",61.8,56,4454,6.49,6.46,4
1.2,"Ideal","I","SI1",60.1,56,5578,6.9,6.84,4.13
1.5,"Good","H","SI2",64.3,57,7500,7.18,7.15,4.61
0.32,"Good","I","SI2",63.4,56,374,4.34,4.37,2.76
0.36,"Ideal","D","VS2",62.5,55,773,4.55,4.57,2.85
1.01,"Good","J","SI1",62.8,58,3399,6.28,6.33,3.96
0.47,"Premium","J","SI2",61.9,59,867,4.99,4.96,3.08
0.77,"Premium","H","SI1",60.9,60,2457,5.89,5.87,3.58
0.67,"Good","F","VS1",64.4,57,2244,5.55,5.6,3.6
1.01,"Good","G","SI2",61.1,62,3948,6.38,6.48,3.93
1.02,"Very Good","H","VS2",63.3,60,5255,6.42,6.38,4.05
1.03,"Ideal","E","SI1",62.1,56,5476,6.43,6.48,4.01
1.02,"Good","F","SI1",63.5,57,4594,6.35,6.4,4.05
1.57,"Premium","G","SI1",59.2,59,11113,7.68,7.6,4.52
1.21,"Premium","H","VS2",59.3,60,6974,6.99,6.93,4.13
0.8,"Premium","E","SI1",61.5,58,3356,5.93,5.97,3.66
1.01,"Very Good","G","VS2",62.4,58,5696,6.37,6.41,3.99
0.3,"Ideal","E","VS2",62.1,55,658,4.28,4.32,2.67
0.38,"Ideal","G","VVS1",61.6,57,1140,4.73,4.65,2.89
0.31,"Good","F","VVS2",63.6,55,846,4.33,4.29,2.74
0.3,"Good","H","SI1",63.9,55,421,4.24,4.27,2.72
1.11,"Premium","F","SI2",58.9,60,4612,6.8,6.74,3.99
0.72,"Premium","E","VS2",60.4,61,3024,5.79,5.76,3.49
0.79,"Ideal","E","VS2",59.3,57,3377,6.02,6.06,3.58
1.21,"Very Good","F","SI1",60.2,60,7877,6.92,6.96,4.18
0.3,"Very Good","G","VVS1",60.7,56,725,4.32,4.35,2.63
2.01,"Very Good","I","VVS2",63.5,58,15952,7.92,7.82,5
1.5,"Very Good","I","VS1",62.8,58,9033,7.17,7.23,4.52
1.57,"Ideal","G","VS2",61.7,56,14283,7.42,7.49,4.6
1.52,"Ideal","I","VS1",62.9,60,10214,7.31,7.27,4.59
0.57,"Ideal","F","VS1",61.9,55,2189,5.34,5.32,3.3
0.58,"Very Good","I","VVS1",63,57,1790,5.31,5.35,3.36
0.7,"Fair","J","VS2",64.6,58,1672,5.58,5.56,3.6
0.9,"Premium","F","SI1",61.7,62,3936,6.19,6.13,3.8
0.9,"Good","G","VS2",63.9,61,3792,6.01,5.97,3.83
0.41,"Premium","F","VVS2",61.6,59,1017,4.79,4.73,2.93
0.31,"Premium","G","SI1",63,58,593,4.34,4.3,2.72
1.01,"Premium","F","VVS2",61.8,55,8688,6.45,6.36,3.96
2.21,"Premium","H","SI2",62.9,60,13369,8.27,8.23,5.19
0.31,"Ideal","E","VS2",61.9,55,872,4.39,4.34,2.7
0.7,"Very Good","F","SI1",62.2,58,2230,5.66,5.69,3.53
0.41,"Ideal","E","VS1",61.4,55,1076,4.84,4.8,2.96
1.52,"Ideal","F","VS2",62.5,55,14915,7.42,7.31,4.6
0.5,"Very Good","E","VS2",61.3,58,1624,5.06,5.12,3.12
0.9,"Good","E","SI1",63.8,56,3800,6.12,6.05,3.88
0.36,"Ideal","E","VS2",61.7,55,742,4.57,4.6,2.83
0.71,"Very Good","G","VS2",62.3,63,2335,5.7,5.64,3.53
0.7,"Good","D","SI1",64.2,60,2298,5.59,5.62,3.6
2.32,"Premium","J","SI2",62.5,58,14666,8.47,8.43,5.28
0.3,"Ideal","H","VVS1",62,56,636,4.31,4.34,2.68
0.41,"Very Good","G","VS1",60.5,56,823,4.83,4.85,2.93
0.78,"Ideal","D","SI1",61.9,57,2799,5.91,5.86,3.64
0.25,"Very Good","F","VVS1",64.2,58,548,3.96,4.01,2.56
1.13,"Very Good","I","VS2",61.6,57,4348,6.73,6.78,4.16
1.34,"Premium","I","VS2",61.8,59,6754,7.07,7.04,4.36
0.91,"Premium","G","VS2",60.8,56,4357,6.28,6.21,3.8
0.81,"Ideal","F","SI1",61.8,55,3004,6.04,6,3.72
1.6,"Ideal","G","VVS1",60.8,56,16339,7.58,7.54,4.6
0.3,"Ideal","F","VVS2",61.9,54.1,728,4.31,4.33,2.67
0.5,"Very Good","D","SI1",60.8,58,1436,5.07,5.13,3.1
2.06,"Premium","I","SI2",61.8,58,14803,8.22,8.11,5.05
0.36,"Very Good","F","VS1",60.1,59,825,4.62,4.66,2.78
0.55,"Premium","F","VS2",62.7,58,2376,5.28,5.25,3.3
0.3,"Premium","H","IF",60.4,60,789,4.3,4.34,2.61
1.5,"Good","G","VS1",63.8,58,13720,7.21,7.12,4.57
1.5,"Fair","I","I1",71.3,58,4368,6.85,6.81,4.87
1.25,"Premium","D","SI2",59.8,55,4543,7.07,7.01,4.21
0.33,"Premium","I","VS1",62.7,58,521,4.4,4.43,2.77
0.31,"Very Good","G","VS1",62.7,54,542,4.35,4.36,2.73
0.72,"Ideal","G","SI2",62.1,59,2139,5.71,5.76,3.56
2.02,"Premium","I","SI1",61.4,58,14240,8.14,8.07,4.98
0.91,"Ideal","E","SI1",61.2,58,4513,6.24,6.3,3.84
0.3,"Ideal","F","IF",62,58,886,4.25,4.3,2.65
0.31,"Ideal","F","IF",62,55,901,4.37,4.41,2.72
1.51,"Very Good","I","VS2",61.6,57,9185,7.28,7.34,4.5
0.71,"Good","E","VS2",63.2,57,2416,5.63,5.66,3.56
1.45,"Very Good","J","SI1",62.4,57,6316,7.16,7.23,4.49
1.01,"Good","E","SI1",64.2,59,5232,6.27,6.19,4
1.09,"Very Good","H","VS2",63,54,5551,6.61,6.54,4.14
0.42,"Ideal","G","VVS1",61.4,56,1179,4.81,4.83,2.96
1.3,"Premium","G","VS2",62.5,58,9120,6.97,6.93,4.36
0.9,"Good","G","VS1",61,62,4395,6.16,6.24,3.78
0.39,"Ideal","E","SI1",60.6,57,677,4.75,4.79,2.89
0.7,"Premium","F","SI2",60.3,58,1806,5.79,5.76,3.48
1,"Good","E","SI2",63.7,61,4265,6.27,6.2,3.97
0.54,"Ideal","E","SI2",60.6,57,1246,5.25,5.28,3.19
1,"Premium","F","SI1",61.8,58,5151,6.44,6.37,3.96
1.2,"Ideal","I","VS1",62.1,56.5,6210,6.8,6.84,4.23
0.7,"Ideal","I","VS2",62.2,55,2268,5.73,5.69,3.55
0.33,"Ideal","H","VVS2",61.7,56,854,4.44,4.41,2.73
0.3,"Good","F","VS2",63.1,55,484,4.24,4.29,2.69
0.32,"Ideal","E","VS1",61.5,56,758,4.38,4.4,2.7
0.54,"Very Good","H","SI1",61.7,54,1065,5.23,5.27,3.24
1.08,"Premium","F","SI1",62.1,58,4864,6.57,6.61,4.09
0.78,"Ideal","E","VS2",61.4,56,3582,5.91,5.95,3.64
1.29,"Premium","I","SI1",62,59,6140,7.03,6.98,4.34
1,"Premium","H","SI2",61,61,3864,6.31,6.27,3.84
1.32,"Ideal","E","VS2",62,56,10919,7.02,7.07,4.37
0.4,"Premium","D","VVS2",58.3,59,1152,4.9,4.88,2.85
0.71,"Good","E","VS1",59.4,61,3464,5.8,5.89,3.47
0.5,"Ideal","D","VS2",62.6,56,1845,5.08,5.05,3.17
1.05,"Good","H","IF",64.3,58,6703,6.5,6.35,4.13
0.7,"Very Good","E","IF",63.4,58,3622,5.64,5.59,3.56
1.18,"Ideal","E","VS1",61.4,57,11104,6.77,6.81,4.17
1.1,"Ideal","G","VS2",60.2,56,6972,6.7,6.74,4.05
0.91,"Very Good","G","SI1",63.1,63,3445,6.16,6.11,3.87
0.48,"Very Good","E","VS2",59.9,58.9,1320,5.07,5.12,3.06
0.57,"Ideal","E","VS2",61.6,56,1728,5.34,5.38,3.3
0.41,"Ideal","D","VS1",61.3,54,1151,4.8,4.83,2.95
0.3,"Very Good","H","SI1",63.4,57,540,4.31,4.27,2.72
1.63,"Good","I","SI1",63.7,58,9556,7.4,7.48,4.74
0.32,"Premium","H","SI1",62,58,461,4.38,4.39,2.72
0.54,"Ideal","E","VS2",61.8,55,1567,5.22,5.26,3.24
1.04,"Good","J","SI2",64.2,59,3425,6.47,6.38,4.13
1,"Very Good","G","SI1",62.6,59,4844,6.29,6.33,3.95
1,"Fair","H","VS1",57.4,68,4368,6.52,6.47,3.73
0.25,"Very Good","D","VVS2",64.2,55,512,3.98,4,2.56
0.5,"Very Good","H","SI1",63.1,59,1181,5.02,4.96,3.15
0.51,"Premium","E","VS2",61.9,59,1781,5.11,5.06,3.15
0.32,"Premium","I","SI1",59.9,61,540,4.47,4.44,2.67
0.42,"Good","E","SI1",63.4,56,773,4.74,4.82,3.03
1.16,"Ideal","G","VVS1",61.9,55,9781,6.75,6.78,4.19
0.35,"Ideal","H","VVS2",63,55,906,4.5,4.48,2.83
1.17,"Premium","F","VS2",60.2,58,8256,6.88,6.85,4.13
0.33,"Ideal","G","VVS1",61.8,55,1114,4.45,4.42,2.74
1.5,"Very Good","D","SI2",59.8,63,9959,7.44,7.38,4.43
0.47,"Ideal","H","VS2",62.7,55,989,4.95,5.08,3.15
0.5,"Ideal","H","SI1",62.2,53,1154,5.06,5.14,3.17
1.01,"Very Good","H","VS2",59.7,64,5911,6.45,6.48,3.86
0.71,"Ideal","F","VS2",62.2,56,2915,5.74,5.71,3.56
0.52,"Ideal","H","IF",62.1,57,1956,5.13,5.16,3.19
0.41,"Premium","G","VVS1",59.9,59,1230,4.83,4.79,2.88
0.91,"Ideal","F","SI2",62.2,56,3812,6.14,6.17,3.83
0.31,"Ideal","E","VVS2",61.6,55,816,4.35,4.38,2.69
1.22,"Very Good","G","VVS2",61.9,58,8975,6.84,6.85,4.24
0.53,"Premium","H","VS1",60.5,57,1607,5.34,5.27,3.21
0.54,"Very Good","E","SI2",60.7,56.5,1415,5.24,5.28,3.19
0.31,"Ideal","D","SI1",62.4,56,732,4.35,4.31,2.7
0.77,"Ideal","G","VS2",61.7,55,3154,5.87,5.9,3.63
1.52,"Ideal","F","SI2",62.5,57,9533,7.36,7.32,4.59
1.34,"Ideal","H","VS2",61.9,55,8771,7.05,7.08,4.37
0.52,"Premium","G","VVS2",61,58,1707,5.15,5.21,3.16
0.44,"Good","F","SI1",63.8,54,970,4.85,4.8,3.08
1.02,"Premium","F","SI2",63,58,4238,6.44,6.38,4.04
0.33,"Ideal","H","IF",62.1,55,1114,4.44,4.41,2.75
0.73,"Premium","F","SI1",60.6,59,2190,5.81,5.77,3.51
0.34,"Premium","D","SI2",59.2,59,650,4.58,4.54,2.7
0.55,"Very Good","E","VVS2",60.4,56,2399,5.36,5.38,3.24
0.7,"Premium","F","SI2",61.2,59,1792,5.75,5.72,3.51
0.56,"Ideal","F","SI1",60.1,58,1394,5.36,5.39,3.23
1.09,"Fair","I","SI1",56.4,62,4273,6.97,6.9,3.9
0.69,"Good","F","SI1",58.4,61.7,1951,5.75,5.82,3.38
0.4,"Ideal","G","VS2",62.8,54,980,4.7,4.67,2.94
0.3,"Very Good","G","VS1",62.8,58,605,4.26,4.28,2.68
0.91,"Good","G","VS1",63.2,58,4284,6.07,6.15,3.86
0.98,"Very Good","G","SI2",62.2,57,4542,6.33,6.37,3.95
0.36,"Ideal","I","VS2",61.8,55,648,4.61,4.58,2.84
0.61,"Very Good","G","VVS2",62.4,55,2403,5.44,5.47,3.4
0.73,"Fair","E","SI1",64.6,59,2317,5.69,5.64,3.66
1.01,"Premium","H","SI2",61.6,59,4242,6.44,6.39,3.95
0.6,"Ideal","E","VVS1",62,53.7,3082,5.4,5.44,3.36
2.38,"Premium","J","VS2",62.6,59,16273,8.52,8.49,5.32
0.54,"Good","G","VS2",63.2,55,1422,5.15,5.2,3.27
1.31,"Ideal","G","VS2",61.9,56,9085,7.08,7.05,4.37
1.16,"Very Good","G","VS1",62.9,55,7589,6.65,6.74,4.21
1.15,"Premium","I","SI1",59.6,58,4959,6.86,6.82,4.08
1.12,"Very Good","G","VVS1",60.9,57,8408,6.67,6.72,4.08
1.01,"Premium","G","VVS2",61.9,60,6470,6.45,6.41,3.98
1.7,"Premium","I","VS2",61.7,59,11257,7.63,7.68,4.72
1.01,"Ideal","G","VS2",60.1,55,6512,6.53,6.58,3.94
0.56,"Ideal","G","VVS2",61,57,2510,5.32,5.36,3.26
0.32,"Ideal","E","VS2",62.1,54,900,4.42,4.4,2.74
0.71,"Ideal","F","VS1",61.8,55,3710,5.71,5.73,3.54
1.05,"Good","H","VS1",63.3,57,5555,6.4,6.45,4.07
0.91,"Very Good","D","SI1",62.8,57,4303,6.12,6.17,3.86
0.74,"Ideal","E","VS2",62.7,54,2984,5.8,5.77,3.63
0.53,"Ideal","H","VS2",61.7,56,1435,5.17,5.21,3.2
0.54,"Good","E","SI2",63.8,54,1163,5.17,5.18,3.3
1.13,"Premium","G","VS2",62.5,58,6743,6.69,6.59,4.15
0.79,"Very Good","E","SI1",63.2,56,2794,5.91,5.86,3.72
0.59,"Ideal","I","VVS1",62.2,55,1838,5.38,5.39,3.35
1.01,"Premium","G","SI2",62.5,60,4249,6.34,6.39,3.98
0.3,"Premium","E","SI2",61.7,61,540,4.31,4.28,2.65
0.34,"Ideal","I","SI1",61.9,57,459,4.44,4.48,2.76
1.15,"Ideal","I","SI2",61.3,57,5216,6.78,6.71,4.13
1.27,"Very Good","H","VS1",60.7,54,8235,7.01,7.05,4.27
0.23,"Very Good","E","VVS2",61.8,58,530,3.92,3.94,2.43
0.57,"Ideal","F","VS2",60.8,57,1869,5.34,5.37,3.25
0.32,"Ideal","F","VVS2",61.4,57,728,4.41,4.45,2.72
0.53,"Ideal","D","VS2",61.2,57,1857,5.2,5.26,3.2
0.33,"Ideal","F","VVS1",61.7,57,955,4.44,4.47,2.75
0.9,"Good","F","SI1",57.5,60,3950,6.33,6.37,3.65
1.02,"Very Good","D","SI2",58.6,63,4583,6.56,6.54,3.84
1.53,"Premium","J","VVS1",61.6,58,9155,7.37,7.4,4.55
1,"Very Good","G","SI2",62.8,57,4207,6.31,6.37,3.98
0.42,"Ideal","G","VS2",62.2,54,847,4.8,4.82,2.99
0.3,"Premium","G","IF",58.4,62,1071,4.43,4.4,2.58
0.74,"Very Good","H","SI2",63.1,55,2138,5.72,5.78,3.63
1,"Very Good","I","SI2",58.3,63,3360,6.53,6.5,3.8
1.03,"Ideal","I","SI1",63.3,57,4401,6.37,6.46,4.06
0.31,"Good","E","VVS1",60.9,61,725,4.32,4.35,2.64
0.34,"Ideal","E","VS2",62,56,646,4.46,4.48,2.77
0.29,"Ideal","F","VVS1",61.7,55,815,4.25,4.28,2.63
0.31,"Very Good","H","VS2",63.2,57,628,4.35,4.32,2.74
0.28,"Ideal","D","VS2",61.2,57,487,4.2,4.23,2.58
0.71,"Ideal","G","VVS1",61.7,57,2930,5.75,5.7,3.53
0.34,"Premium","E","SI1",59,60,765,4.62,4.56,2.71
0.3,"Ideal","G","IF",62.1,57,863,4.27,4.29,2.66
0.9,"Premium","E","VS2",59.5,58,5312,6.33,6.28,3.75
1.51,"Good","D","SI1",64.1,62,9674,7.21,7.15,4.6
0.32,"Very Good","F","VS2",63,57,602,4.33,4.37,2.74
0.32,"Premium","F","VS2",60.6,59,645,4.4,4.44,2.68
0.77,"Premium","G","SI2",61.9,59,2391,5.88,5.84,3.63
